Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Chetaille, Philippe; Preuss, Christoph; Burkhard, Silja; Côté, Jean-Marc; Houde, Christine; Castilloux, Julie; Piché, Jessica; Gosset, Natacha; Leclerc, Séverine; Wünnemann, Florian; ",Mutations in SGOL1 cause a novel cohesinopathy affecting heart and gut rhythm,Nature genetics,46,11,1245,2014,Nature Publishing Group
"Wünnemann, Florian; Kokta, Victor; Leclerc, Séverine; Thibeault, Maryse; McCuaig, Catherine; Hatami, Afshin; Stheneur, Chantal; Grenier, Jean-Christophe; Awadalla, Philip; Mitchell, Grant A; ",Aortic dilatation associated with a de novo mutation in the SOX18 gene: expanding the clinical spectrum of hypotrichosis-lymphedema-telangiectasia syndrome,Canadian Journal of Cardiology,32,1,135. e1-135. e7,2016,Elsevier
"Preuss, Christoph; Capredon, Melanie; Wünnemann, Florian; Chetaille, Philippe; Prince, Andrea; Godard, Beatrice; Leclerc, Severine; Sobreira, Nara; Ling, Hua; Awadalla, Philip; ",Family based whole exome sequencing reveals the multifaceted role of notch signaling in congenital heart disease,PLoS genetics,12,10,e1006335,2016,"Public Library of Science San Francisco, CA USA"
"Preuss, Christoph; Wünnemann, Florian; Andelfinger, Gregor; ",At the Heart of a Complex Disease ‘Molecular Genetics of Congenital Heart Disease’,eLS,,,1-9,2017,"John Wiley & Sons, Ltd"
"Wünnemann, Florian; Andelfinger, Gregor U; ",Molecular pathways and animal models of hypoplastic left heart syndrome,Congenital Heart Diseases: The Broken Heart,,,649-664,2016,"Springer, Vienna"
"Gillis, Elisabeth; Kumar, Ajay A; Luyckx, Ilse; Preuss, Christoph; Cannaerts, Elyssa; Van De Beek, Gerarda; Wieschendorf, Björn; Alaerts, Maaike; Bolar, Nikhita; Vandeweyer, Geert; ",Candidate gene resequencing in a large bicuspid aortic valve-associated thoracic aortic aneurysm cohort: SMAD6 as an important contributor,Frontiers in physiology,8,,400,2017,Frontiers
"Gillis, Elisabeth; Kumar, Ajay A; Luyckx, Ilse; Preuss, Christoph; Cannaerts, Elyssa; van de Beek, Gerarda; Wieschendorf, Björn; Alaerts, Maaike; Bolar, Nikhita; Vandeweyer, Geert; ",Corrigendum: candidate gene resequencing in a large bicuspid aortic valve-associated thoracic aortic aneurysm cohort: SMAD6 as an important contributor,Frontiers in physiology,8,,730,2017,Frontiers
"Gould, Russell A; Aziz, Hamza; Woods, Courtney E; Seman-Senderos, Manuel Alejandro; Sparks, Elizabeth; Preuss, Christoph; Wünnemann, Florian; Bedja, Djahida; Moats, Cassandra R; McClymont, Sarah A; ",ROBO4 variants predispose individuals to bicuspid aortic valve and thoracic aortic aneurysm,Nature genetics,51,1,42-50,2019,Nature Publishing Group
"Luyckx, Ilse; Kumar, Ajay A; Reyniers, Edwin; Dekeyser, Emily; Vanderstraeten, Kathleen; Vandeweyer, Geert; Wünnemann, Florian; Preuss, Christoph; Mazzella, Jean-Michaël; Goudot, Guillaume; ",Copy number variation analysis in bicuspid aortic valve-related aortopathy identifies TBX20 as a contributing gene,European Journal of Human Genetics,27,7,1033-1043,2019,Nature Publishing Group
"Wünnemann, Florian; Sin Lo, Ken; Langford-Avelar, Alexandra; Busseuil, David; Dubé, Marie-Pierre; Tardif, Jean-Claude; Lettre, Guillaume; ",Validation of genome-wide polygenic risk scores for coronary artery disease in French Canadians,Circulation: Genomic and Precision Medicine,12,6,e002481,2019,"Lippincott Williams & Wilkins Hagerstown, MD"
"Wünnemann, Florian; Ta-Shma, Asaf; Preuss, Christoph; Leclerc, Severine; van Vliet, Patrick Piet; Oneglia, Andrea; Thibeault, Maryse; Nordquist, Emily; Lincoln, Joy; Scharfenberg, Franka; ",Loss of ADAMTS19 causes progressive non-syndromic heart valve disease,Nature genetics,52,1,40-47,2020,Nature Publishing Group
"Gould, RA; Aziz, H; Woods, CE; Seman-Senderos, MA; Sparks, E; Preuss, C; Wünnemann, F; Bedja, D; Moats, CR; McClymont, SA; ",Baylor-Hopkins Center for Mendelian Genomics; MIBAVA Leducq Consortium. ROBO4 variants predispose individuals to bicuspid aortic valve and thoracic aortic aneurysm,Nat Genet,51,01,42-50,2019,
"Audain, Enrique; Wilsdon, Anna; Breckpot, Jeroen; Izarzugaza, Jose MG; Fitzgerald, Tomas W; Kahlert, AK; Sifrim, Alejandro; Wuennemann, Florian; Perez-Riverol, Yasset; Abdul-Khaliq, Hashim; ",Integrative analysis of genomic variants reveals new associations of candidate haploinsufficient genes with congenital heart disease,bioRxiv,,,,2020,Cold Spring Harbor Laboratory Press
"Churakov, Gennady; Kuritzin, Andrey; Chukharev, Konstantin; Zhang, Fengjun; Wünnemann, F; Ulyantsev, Vladimir; Schmitz, Juergen; ",A 4-lineage statistical suite to evaluate the support of large-scale retrotransposon insertion data to reconstruct evolutionary trees,bioRxiv,,,,2020,Cold Spring Harbor Laboratory
"Wünnemann, Florian; Tadjo, Thierry Fotsing; Beaudoin, Melissa; Lalonde, Simon; Lo, Ken Sin; Lettre, Guillaume; ",CRISPR perturbations at many coronary artery disease loci impair vascular endothelial cell functions,bioRxiv,,,,2021,Cold Spring Harbor Laboratory
